Times,Value
5/31/2022 13:09,FALSE
5/31/2022 19:09,FALSE
5/31/2022 19:09,TRUE
5/31/2022 23:09,TRUE
5/31/2022 23:09,FALSE
6/1/2022 4:39,FALSE
6/1/2022 4:39,TRUE
6/1/2022 23:09,TRUE
6/1/2022 23:09,FALSE
6/2/2022 4:39,FALSE
6/2/2022 4:39,TRUE
6/2/2022 23:09,TRUE
6/2/2022 23:09,FALSE
6/3/2022 4:39,FALSE
6/3/2022 4:39,TRUE
6/3/2022 23:09,TRUE
6/3/2022 23:09,FALSE
6/4/2022 4:39,FALSE
6/4/2022 4:39,TRUE
6/4/2022 23:09,TRUE
6/4/2022 23:09,FALSE
6/5/2022 4:39,FALSE
6/5/2022 4:39,TRUE
6/5/2022 13:09,TRUE
6/5/2022 13:09,FALSE
6/5/2022 15:09,FALSE
6/5/2022 16:09,FALSE
6/5/2022 17:09,FALSE
6/5/2022 19:09,FALSE
6/5/2022 21:09,FALSE
6/5/2022 21:09,TRUE
6/5/2022 23:09,TRUE
6/5/2022 23:09,FALSE
6/6/2022 4:39,FALSE
6/6/2022 4:39,TRUE
6/6/2022 8:24,TRUE
6/6/2022 8:24,FALSE
6/6/2022 10:54,FALSE
6/6/2022 10:54,TRUE
