Date,kW1diff,kW1Hrs,kW2diff,kW2Hrs,kW3diff,kW3Hrs,kW4diff,kW4Hrs,kW5diff,kW5Hrs,kW6diff,kW6Hrs,kW7diff,kW7Hrs,kW8diff,kW8Hrs,kW9diff,kW9Hrs,kW10diff,kW10Hrs,kW11diff,kW11Hrs,kW12diff,kW12Hrs,kW13diff,kW13Hrs,kW14diff,kW14Hrs,kW15diff,kW15Hrs,kW16diff,kW16Hrs
2013-07-14,81.2,5.0,-80.8,0.75,32.2,1.5,1.3999999999999986,3.25,-10.399999999999999,0.5,7.399999999999999,0.5,15.600000000000009,1.25,-18.800000000000004,1.25,15.399999999999999,1.25,-42.6,1.0,13.399999999999999,1.25,-7.0,1.0,15.0,1.25,-6.599999999999994,1.25,-10.200000000000003,2.25,0.3999999999999986,0.5
2013-07-15,-4.599999999999994,1.25,124.2,3.75,-1.0,1.0,5.799999999999983,2.25,24.600000000000023,1.25,13.399999999999977,0.75,-22.19999999999999,0.5,26.80000000000001,0.75,-11.400000000000006,1.75,-101.4,3.0,-8.200000000000003,1.75,19.799999999999997,0.5,-8.799999999999997,0.5,-59.4,1.25,1.2000000000000028,1.75,-8.600000000000001,1.75
2013-07-16,125.80000000000001,5.0,3.799999999999983,0.75,12.400000000000006,3.0,-7.400000000000006,0.75,15.0,0.5,11.400000000000006,2.5,-74.6,0.75,26.0,0.5,-18.400000000000006,1.25,-89.6,1.25,-6.799999999999997,0.5,5.199999999999996,0.5,12.800000000000004,0.5,226.0,3.75,-26.0,1.0,-5.799999999999983,1.25
2013-07-17,-16.80000000000001,0.75,-28.80000000000001,1.75,-0.799999999999983,1.75,-28.400000000000006,1.75,-34.8,0.75,27.999999999999986,0.75,28.400000000000006,1.5,29.599999999999994,0.75,-47.39999999999998,3.5,-25.400000000000006,1.25,-8.200000000000003,1.0,-90.2,0.75,7.200000000000003,0.75,8.199999999999996,1.25,-8.399999999999999,4.0,5.399999999999999,1.5
2013-07-18,138.0,5.0,8.200000000000017,1.0,-19.600000000000023,0.5,-15.399999999999977,1.5,10.0,0.5,-8.600000000000023,0.5,9.400000000000006,0.5,11.200000000000017,2.25,-15.400000000000006,1.0,-15.599999999999994,0.5,-0.20000000000001705,0.75,-26.0,1.25,-85.8,1.0,6.200000000000003,0.75,3.799999999999997,1.25,-2.1999999999999957,5.5
2013-07-19,5.800000000000004,1.25,2.1999999999999957,2.75,34.199999999999996,0.75,219.79999999999998,0.5,-91.59999999999997,0.5,15.199999999999989,1.5,-53.80000000000001,0.5,24.80000000000001,3.0,-7.599999999999994,0.75,-76.0,1.75,35.0,1.0,-28.60000000000001,0.75,-86.6,1.25,-0.6000000000000014,1.0,1.1999999999999957,4.75,-6.9999999999999964,1.75
2013-07-20,-1.0,2.25,2.8000000000000043,2.75,24.799999999999997,2.25,-29.0,1.25,23.4,0.5,18.800000000000004,0.75,18.39999999999999,2.0,-5.599999999999994,0.5,-21.799999999999997,1.0,11.599999999999994,0.5,-17.599999999999994,0.75,-17.6,0.75,2.3999999999999986,1.25,-7.200000000000003,2.75,-2.5999999999999943,3.25,-1.4000000000000057,1.25
2013-07-21,92.6,5.0,-91.19999999999999,0.75,29.4,1.5,-8.0,2.0,7.600000000000001,1.75,-7.600000000000001,0.75,8.600000000000001,0.5,4.600000000000001,1.0,-15.600000000000001,0.75,33.4,0.5,-43.8,1.75,-6.400000000000006,0.5,-5.799999999999997,2.5,7.600000000000001,0.75,-3.400000000000002,2.0,-1.8000000000000007,1.75
2013-07-22,117.4,5.0,-23.0,1.0,17.400000000000006,1.5,-12.400000000000006,1.25,35.400000000000006,0.75,-14.200000000000017,1.75,-16.0,4.0,13.599999999999994,1.0,-47.39999999999999,0.5,-19.0,1.5,32.8,0.75,-49.99999999999999,1.25,-12.800000000000004,0.75,-7.199999999999996,0.5,-14.600000000000001,1.75,4.0,0.5
2013-07-23,95.4,5.0,-9.0,1.25,-21.400000000000006,0.5,13.599999999999994,0.5,-7.0,0.5,2.8000000000000114,0.75,2.1999999999999886,2.75,8.0,0.75,-5.3999999999999915,0.5,-22.0,0.75,-51.6,1.0,13.399999999999999,1.25,-9.0,1.0,-6.0,0.75,-3.200000000000003,1.25,0.0,5.25
2013-07-24,15.200000000000003,5.0,-0.8000000000000043,1.25,7.600000000000001,1.0,35.0,1.0,20.200000000000003,1.25,2.0,1.25,9.200000000000003,0.75,-10.200000000000003,0.75,-18.0,1.25,-47.6,0.75,-7.800000000000004,1.0,8.600000000000001,1.75,-4.399999999999999,1.25,1.2000000000000028,1.25,-5.800000000000004,1.75,-2.799999999999997,2.5
2013-07-25,15.800000000000004,5.0,-2.3999999999999986,1.25,3.5999999999999943,0.75,40.60000000000001,1.25,12.799999999999997,1.0,10.200000000000003,1.75,-10.0,2.25,-56.2,1.0,5.599999999999994,0.5,-8.199999999999996,0.5,-4.399999999999999,0.75,-6.800000000000004,0.5,-2.1999999999999993,2.25,3.1999999999999993,0.75,-1.7999999999999972,2.0,-0.6000000000000014,2.25
2013-07-26,48.8,5.0,-25.6,0.5,8.600000000000001,1.5,43.599999999999994,1.25,-11.399999999999991,0.75,6.200000000000003,0.5,-9.0,0.75,8.199999999999989,0.75,-8.399999999999991,0.5,-27.400000000000006,1.75,-11.599999999999994,0.75,-9.200000000000003,0.75,-10.399999999999999,0.75,-6.200000000000003,1.75,5.800000000000004,2.25,-0.6000000000000014,4.25
2013-07-27,17.2,5.0,4.200000000000003,2.75,22.39999999999999,0.5,8.0,1.0,7.800000000000011,2.25,-5.200000000000003,0.75,-5.799999999999997,1.0,-5.200000000000003,0.5,-31.200000000000003,0.5,-3.3999999999999986,1.0,-6.600000000000001,0.75,7.600000000000001,2.75,6.799999999999997,1.0,-12.799999999999997,1.25,-1.0,1.0,0.1999999999999993,1.75
2013-07-28,18.2,5.0,-3.3999999999999986,1.25,29.199999999999996,2.0,10.799999999999997,2.25,11.0,1.0,-14.799999999999997,0.75,-4.200000000000003,1.25,-34.199999999999996,0.75,-10.799999999999997,0.5,-3.0,1.25,-2.400000000000002,1.0,2.0,2.25,10.000000000000004,0.5,-2.4000000000000057,1.0,-3.3999999999999986,0.5,-2.599999999999998,2.5
2013-07-29,0.20000000000000284,4.5,19.599999999999994,0.5,23.799999999999997,3.25,5.400000000000006,1.0,4.799999999999997,0.75,8.200000000000003,1.75,-6.400000000000006,0.75,-10.599999999999994,0.75,-10.799999999999997,0.5,-27.400000000000006,0.5,-2.3999999999999986,1.0,-2.3999999999999986,0.75,4.799999999999997,1.25,3.8000000000000043,2.75,-11.600000000000001,1.5,0.1999999999999993,2.25
2013-07-30,19.2,5.0,-3.0,1.0,3.0,1.75,25.400000000000006,0.5,13.0,1.0,13.0,1.5,-11.600000000000009,0.75,13.799999999999997,0.5,-24.39999999999999,1.25,-30.0,1.0,-2.4000000000000057,1.0,-6.199999999999996,0.75,-9.8,1.0,1.9999999999999964,1.0,-4.599999999999998,5.25,-0.1999999999999993,0.5
2013-07-31,23.4,5.0,14.600000000000001,3.0,21.400000000000006,0.5,13.399999999999991,0.75,-14.0,0.5,16.799999999999997,0.5,-8.799999999999997,0.5,26.400000000000006,0.5,-31.60000000000001,2.0,-34.8,1.0,-14.599999999999994,1.0,-11.000000000000004,3.75,6.199999999999999,0.75,-0.6000000000000014,1.5,-4.199999999999996,2.0,-1.8000000000000007,0.5
2013-08-01,-5.400000000000002,6.5,10.599999999999998,0.75,-2.9999999999999964,0.5,5.599999999999998,1.5,3.0,1.0,4.0,1.5,-6.399999999999999,0.5,7.600000000000001,0.75,-5.399999999999999,0.5,4.0,0.5,-17.400000000000002,2.25,-3.8000000000000007,0.75,4.600000000000001,1.0,5.399999999999999,2.0,-5.600000000000001,3.25,-1.3999999999999986,0.5
2013-08-02,41.800000000000004,5.0,-23.0,1.25,10.799999999999997,0.75,34.8,1.25,13.200000000000003,0.5,33.599999999999994,1.25,-17.39999999999999,1.5,-6.0,1.75,-21.0,0.75,16.39999999999999,0.75,-31.799999999999997,1.25,15.200000000000003,2.5,-33.2,1.75,-10.399999999999999,0.5,-16.799999999999997,0.5,-4.400000000000002,2.5
2013-08-03,20.199999999999996,5.0,10.800000000000004,2.5,15.800000000000004,0.5,24.39999999999999,0.5,19.60000000000001,2.25,6.400000000000006,0.75,-14.800000000000011,0.75,22.400000000000006,0.5,-44.80000000000001,0.75,-31.199999999999996,0.75,-15.199999999999996,1.0,-6.200000000000003,1.0,4.600000000000001,0.75,-5.600000000000001,0.75,-2.799999999999997,4.5,-0.20000000000000284,1.5
2013-08-04,58.8,5.0,-26.4,1.0,10.399999999999999,0.75,5.799999999999997,1.0,76.6,0.5,19.200000000000017,0.75,-24.80000000000001,0.5,26.200000000000017,0.75,-9.200000000000017,1.75,-42.8,1.25,-67.8,1.0,-4.799999999999997,0.75,3.5999999999999943,2.0,-3.799999999999997,1.25,-9.0,3.0,-4.200000000000003,2.5
2013-08-05,30.6,4.75,-6.799999999999997,0.75,20.200000000000003,2.25,57.0,0.5,-9.400000000000006,0.75,11.400000000000006,1.75,17.19999999999999,1.0,-10.599999999999994,0.5,-23.0,1.0,-64.0,1.0,-14.799999999999997,1.0,-5.800000000000004,0.75,-9.0,1.5,5.800000000000004,2.0,-1.4000000000000057,1.75,0.4000000000000057,2.5
2013-08-06,41.0,5.0,-17.0,1.0,5.0,1.0,3.200000000000003,0.75,42.599999999999994,0.5,4.400000000000006,0.75,13.799999999999997,1.25,14.800000000000011,1.25,4.399999999999977,1.0,-25.999999999999986,0.5,-35.60000000000001,0.5,-24.799999999999997,0.75,-8.0,1.0,-13.199999999999996,1.0,-4.800000000000001,7.0,2.1999999999999993,0.5
2013-08-07,-4.599999999999998,6.5,15.0,0.75,6.799999999999997,1.25,-4.399999999999999,1.0,-1.7999999999999972,1.5,-5.200000000000003,1.0,7.200000000000003,2.0,-13.600000000000001,2.25,-5.0,0.75,7.0,1.0,5.199999999999996,1.0,3.200000000000003,0.75,-3.3999999999999986,0.5,182.20000000000002,2.25,-27.400000000000006,0.75,-8.800000000000011,0.5
2013-08-08,-6.800000000000011,2.25,-4.799999999999983,2.0,-90.00000000000001,1.25,-4.599999999999994,0.75,46.8,2.0,13.599999999999994,1.0,-7.3999999999999915,3.75,-28.200000000000003,1.25,13.400000000000006,0.75,-10.800000000000011,1.0,-21.0,1.75,-1.7999999999999972,1.0,12.200000000000003,0.5,-23.4,0.75,-16.4,0.75,-4.600000000000001,3.0
2013-08-09,19.400000000000002,5.0,4.399999999999999,2.25,16.800000000000004,0.75,24.599999999999994,0.5,-9.799999999999997,1.75,12.599999999999994,0.75,10.0,0.75,-7.799999999999997,1.0,-6.200000000000003,0.5,-24.599999999999994,0.75,-23.6,1.25,-11.200000000000003,0.75,-5.399999999999999,2.25,13.0,1.5,-5.200000000000003,1.25,-5.399999999999999,2.75
2013-08-10,15.800000000000004,5.0,-2.200000000000003,1.5,9.0,0.5,22.400000000000006,0.75,4.3999999999999915,1.25,6.200000000000003,2.5,5.200000000000003,0.5,-6.200000000000003,0.75,-8.599999999999994,0.75,-37.60000000000001,0.75,6.0,0.5,-9.0,0.5,-6.199999999999996,2.25,6.799999999999997,2.0,-5.600000000000001,2.0,-1.5999999999999943,2.25
